group,color1,color2
G1,1.04,5.64
G1,1.05,4.38
G1,1.03,5.68
G1,0.86,7.8
G1,1.04,4.32
G1,1.05,6.75
G1,1.02,5.25
G1,1.06,5.05
G1,1.08,5.2
G1,1.01,7.22
G1,1.25,5.75
G1,1.17,5
G1,1.15,5.6
G1,1.25,5.4
G1,1.2,7.5
G1,1.28,7.3
G1,1.07,6.2
G1,1.13,6.6
G1,1.23,8.7
G1,0.96,5.1
G1,1.09,5.65
G1,1.03,4.5
G1,1.11,3.8
G1,1.09,3.93
G1,1.12,3.52
G1,1.13,3.58
G1,0.92,4.8
G1,1.02,3.95
G1,1.25,4.5
G1,1.04,4.7
G1,1.19,5.7
G1,1.09,6.9
G1,1.23,3.84
G1,1.25,5.4
G1,1.1,4.2
G1,1.04,5.1
G1,1.09,4.6
G1,1.12,4.25
G1,1.18,3.7
G1,0.89,5.1
G1,0.95,6.13
G1,0.91,4.28
G1,0.88,5.43
G1,0.82,4.36
G1,0.88,5.04
G1,1.04,4.9
G1,0.87,5.24
G2,1.05,1.95
G2,1.25,3.27
G2,0.98,5.75
G2,1.23,3.8
G2,1.22,4.45
G2,1.45,2.95
G2,1.19,4.6
G2,1.12,5.3
G2,1.12,4.68
G2,1.02,3.17
G2,1.28,2.85
G2,0.906,3.05
G2,1.36,3.38
G2,0.98,3.74
G2,1.31,3.35
G2,0.99,3.21
G2,1.23,3.8
G2,1.19,4.6
G2,0.96,2.65
G2,1.06,3.4
G2,1.19,2.57
G2,1.38,2.5
G2,1.16,3.9
G2,1.31,2.2
G2,0.84,4.8
G2,0.79,3.05
G2,1.23,2.62
G2,1.33,2.45
G2,1.36,2.6
G2,1,2.8
G2,1.07,1.74
G2,1.08,2.4
G2,1.05,3.6
G2,0.96,3.05
G2,1.15,2.15
G2,1.16,3.25
G2,1.16,2.6
G2,0.95,2.5
G2,1.23,2.9
G2,1.04,4.5
G2,1.42,2.3
G2,1.27,3.3
G2,1.04,2.45
G2,0.8,2.8
G2,0.94,2.06
G2,1.04,2.94
G2,0.86,2.7
G2,1,3.4
G2,0.88,3.3
G2,0.86,2.7
G2,0.96,2.65
G2,0.75,2.9
G2,0.9,2
G2,1.23,3.8
G2,1.1,3.08
G2,0.93,2.9
G2,1.71,1.9
